,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1225,Jun-Aug,2000,Unprovoked,PANAMA,San Carlos,Playa Teta,low water,N,unknown
1226,Jun-Aug,2000,Unprovoked,MEXICO,Cabo San Lucas,unknown,low water,N,12-17
1227,Jun-Aug,2000,Unprovoked,USA,Hawaii,"Honokowai, Maui",sports table,N,12-17
1229,Jun-Aug,2000,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",underwater,N,unknown
1230,Jun-Aug,2000,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",low water,N,unknown
1231,Jun-Aug,2000,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",sports table,N,12-17
1232,Jun-Aug,2000,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",low water,N,18-22
1233,Jun-Aug,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",unknown,N,12-17
1234,Jun-Aug,2000,Unprovoked,EGYPT,unknown,Daedalus Reef,sports boat,N,unknown
1235,Jun-Aug,2000,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County",low water,unknown,12-17
1236,Jun-Aug,2000,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",fishing,N,7-11
1237,Jun-Aug,2000,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",sports table,N,12-17
1238,Jun-Aug,2000,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",fishing,N,unknown
1239,Jun-Aug,2000,Boating,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",sports table,N,12-17
1240,Jun-Aug,2000,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",low water,unknown,7-11
1241,Jun-Aug,2000,Unprovoked,BAHAMAS,Abaco Islands,unknown,sports table,N,7-11
1242,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,sports boat,N,7-11
1243,Jun-Aug,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,low water,N,7-11
